word1,word2,wordSimScore,modelScore
가입,티켓,5.536,3.067
술,화학,4.125,2.2925
알류미늄,금속,6.625,4.334
발표,노력,2.0625,1.8661
발표,소식,7.1875,3.974
발표,생산,1.6875,3.0108
발표,경고,4.625,2.6087
아라파트,잭슨,1.0,0.7752
아라파트,평화,2.125,1.6309
아라파트,공포,3.0625,0.4263
건축학,세기,1.929,0.7834
준비,숙소,5.125,2.1738
도착,호텔,2.1875,3.8372
보호 시설,미친 집,8.0625,
대기,풍경,3.5625,2.43
시도,평화,0.9375,1.6956
아기,어머니,5.25,2.5513
은행,돈,6.625,2.6092
야구,계절,3.2565,1.9277
침대,벽장,2.25,4.3814
기준,색인,5.5,2.3155
새,수탉,5.875,2.1356
새,두루미,4.8125,1.7781
주교,랍비,5.375,3.2526
판자,추천,1.25,1.575
책,도서관,5.3125,3.039
책,종이,5.875,4.2782
권투,둥근,4.1875,2.1045
소년,젊은이,7.844,2.9899
빵,버터,4.1875,4.6956
형제,수도사,4.25,1.5265
계산,계산,8.0565,10.0
깊은 협곡,풍경,5.25,
자동차,자동차,9.369,10.0
자동차,비행,2.4375,1.917
셀,핸드폰,6.25,1.2837
묘지,삼림지,2.3125,2.8529
세기,국가,2.1875,2.0038
세기,년도,4.0,3.6506
선수권 대회,토너먼트,7.5,
가능성,믿을 수 있음,2.163,
변화,태도,3.375,4.4321
현,웃다,0.8125,1.4658
벽장,옷,4.625,3.2715
해안,숲,2.125,3.1573
해안,언덕,2.3125,3.0673
해안,지주,8.2755,1.6396
회사,재고,3.75,1.8738
경쟁,가격,3.0,3.7493
컴퓨터,인터넷,6.125,4.7826
컴퓨터,건반,5.9375,2.3757
컴퓨터,실혐실,3.375,
컴퓨터,소식,1.6875,0.7054
컴퓨터,소프트웨어,6.1875,5.1822
콘서트,거장,3.6875,1.4517
소비자,신뢰,1.6875,2.8034
소비자,에너지,2.75,2.6763
국가,시민,4.3125,3.2488
두루미,구현하다,2.125,-0.3291
신용 거래,카드,4.5625,
신용 거래,정보,3.644,
오이,감자,4.0625,4.6111
컵,기사,1.3125,1.2623
컵,인공물,2.5,0.9676
컵,커피,5.0625,3.7376
컵,마시다,4.75,1.9876
컵,실재,1.375,0.9126
