word1,word2,wordSimScore,modelScore
admission,ticket,5.536,4.4834
alcohol,chemistry,4.125,2.648
aluminum,metal,6.625,6.1241
announcement,effort,2.0625,2.2621
announcement,news,7.1875,4.8777
announcement,production,1.6875,1.7962
announcement,warning,4.625,3.4114
Arafat,Jackson,1.0,2.3528
Arafat,peace,2.125,2.6268
Arafat,terror,3.0625,2.3571
architecture,century,1.929,1.7842
arrangement,accommodation,5.125,3.303
arrival,hotel,2.1875,2.4954
asylum,madhouse,8.0625,4.2901
atmosphere,landscape,3.5625,2.3641
attempt,peace,0.9375,1.1009
baby,mother,5.25,5.2619
bank,money,6.625,3.9832
baseball,season,3.2565,2.9557
bed,closet,2.25,4.0413
benchmark,index,5.5,4.442
bird,cock,5.875,2.0817
bird,crane,4.8125,4.312
bishop,rabbi,5.375,4.638
board,recommendation,1.25,2.7193
book,library,5.3125,4.0319
book,paper,5.875,3.9607
boxing,round,4.1875,2.4468
boy,lad,7.844,6.6797
bread,butter,4.1875,6.6235
brother,monk,4.25,3.0171
calculation,computation,8.0565,6.6489
canyon,landscape,5.25,3.4374
car,automobile,9.369,7.0217
car,flight,2.4375,2.7597
cell,phone,6.25,6.112
cemetery,woodland,2.3125,2.9979
century,nation,2.1875,2.7197
century,year,4.0,4.1593
championship,tournament,7.5,6.7678
chance,credibility,2.163,2.8318
change,attitude,3.375,4.0615
chord,smile,0.8125,1.2413
closet,clothes,4.625,4.9328
coast,forest,2.125,2.8538
coast,hill,2.3125,3.4121
coast,shore,8.2755,6.2808
company,stock,3.75,3.3265
competition,price,3.0,2.7861
computer,internet,6.125,4.7908
computer,keyboard,5.9375,4.8109
computer,laboratory,3.375,3.1264
computer,news,1.6875,1.161
computer,software,6.1875,5.6322
concert,virtuoso,3.6875,3.166
consumer,confidence,1.6875,2.1411
consumer,energy,2.75,2.701
country,citizen,4.3125,3.7111
crane,implement,2.125,0.5495
credit,card,4.5625,5.2564
credit,information,3.644,2.6597
cucumber,potato,4.0625,5.1976
cup,article,1.3125,0.6952
cup,artifact,2.5,1.2355
cup,coffee,5.0625,5.655
cup,drink,4.75,4.5015
cup,entity,1.375,0.6889
cup,food,1.875,1.7178
cup,liquid,3.75,3.2115
cup,object,4.25,1.8487
cup,substance,1.9375,1.3158
cup,tableware,6.0,2.3425
currency,market,4.3125,3.248
day,dawn,4.625,4.656
day,summer,3.125,4.7709
death,inmate,1.944,3.043
death,row,1.6875,2.0485
decoration,valor,3.25,2.8006
delay,news,1.4375,1.5928
delay,racism,0.875,0.7705
deployment,departure,5.5,2.2477
deployment,withdrawal,3.5,3.4174
development,issue,3.3125,1.5252
direction,combination,2.0625,1.8652
disability,death,2.3125,3.2798
disaster,area,1.625,2.1292
discovery,space,3.9375,1.6886
dividend,calculation,5.1875,2.4642
dividend,payment,5.5,3.8608
doctor,liability,2.5,0.7259
doctor,nurse,6.125,6.3263
doctor,personnel,3.5625,1.6987
dollar,buck,8.5625,4.2259
dollar,loss,2.1875,1.8645
dollar,profit,5.375,3.3431
dollar,yen,6.3125,5.4683
drink,car,0.3125,2.6729
drink,ear,0.375,0.9572
drink,eat,4.125,5.5417
